reference,date,position,navArea,subreg,hostility,victim,description,
2001-116,2001-04-14,"9°30'00""N
78°45'00""W",IV,26,ROBBERS,NUEVA ALCAMAR,"PANAMA: ACCORDING TO A 14 APR PRESS REPORT, SIX THIEVES ROBBED PASSENGERS ABOARD THE (NUEVA ALCAMAR) (PROBABLE COASTAL FERRY) OF $8,300 WHILE THE SHIP WAS AT KUNA YALA.  THE THIEVES REPORTEDLY PASSED THEMSELVES OFF AS AGENTS FROM THE NATIONAL POLICE INFORMATION AND INVESTIGATION DIRECTORATE.  ALTHOUGH SUCH CRIME IS RARELY REPORTED IN THE MAINSTREAM MARITIME PRESS, THE SUPPOSITION IS THAT THEY OCCUR RELATIVELY FREQUENTLY AROUND THE WORLD.",
2001-121,2001-04-13,"9°56'00""N
76°15'00""E",VIII,63,BOARDERS,MERCHANT VESSEL,"BANGLADESH: AN UNIDENTIFIED BULK CARRIER WAS BOARDED 13 APR AT 1445 UTC WHILE ANCHORED AT CHITTAGONG BY THREE MEN FROM AN UNLIGHTED BOAT WHO CAME OVER THE STERN AND ATTEMPTED TO STEAL SHIP'S STORES.  ANTI PIRACY WATCH SPOTTED THE INTRUDERS AND RAISED THE ALARM, WHEREUPON THE THREE LEAPED OVERBOARD.",
2001-123,2001-04-12,"12°55'00""N
48°20'00""E",IX,62,PIRATES,DAISY DUCK,"GULF OF ADEN: THREE PIRATES IN A WOODEN BOAT REPORTEDLY APPROACHED A YACHT 12 APR AT 0440 UTC (REPORTED 24 APR) UNDERWAY IN POSITION 12-55N 048-20E, ORDERING IT TO STOP.  WHEN THE YACHT INCREASED SPEED THE PIRATES SHOT AT THE YACHT USING A MACHINE GUN.  YACHT BROADCAST DISTRESS CALL ON VHF CH 16 AND OWNER FIRED WITH HIS PISTOL AFTER WHICH PIRATE BOAT WITHDREW.  ON 3 MAY YACHT WAS IDENTIFIED AS (DAISY DUCK).  YACHT OWNER CLAIMS FOUR SHIPS WITHIN SIGHT OF VESSEL AND WITH WHICH COMMS HAD BEEN ESTABLISHED, FAILED TO RESPOND TO YACHT'S DISTRESS CALL.",
2001-120,2001-04-12,"13°05'00""N
80°21'00""E",VIII,63,BOARDERS,MERCHANT VESSEL,"INDIA: AN UNIDENTIFIED CONTAINER SHIP AVERTED AN ATTEMPTED BOARDING 12 APR AT 0440 LOCAL TIME AT CHENNAI ANCHORAGE WHEN ALERT CREW FORCED WITHDRAWAL OF A BOAT WITH SIX PERSONS, ONE OF WHOM HAD THROWN A GRAPPLING HOOK ONTO THE RAIL.",
2001-117,2001-04-10,"0°08'48""S
44°06'12""E",VIII,61,FISHING BOATS,MERCHANT VESSEL,"SOMALIA: AN UNIDENTIFIED CONTAINER SHIP WAS FIRED ON FROM THREE FISHING BOATS 10 APR AT 1400 LOCAL TIME WHILE UNDERWAY IN POSITION 00-08.8S 044-06.2E, NINETY NAUTICAL MILES EAST OF KISMAYU.  FOUR SHOTS WERE FIRED AND BOARDING WAS REPORTEDLY ATTEMPTED BEFORE THE BOATS BROKE OFF PURSUIT.  THIS IS BELIEVED TO BE THE FARTHEST TO SEAWARD THAT SHIPS OPERATING OFF THE SOMALI COAST HAVE BEEN INTERFERED WITH.",
2001-118,2001-04-07,"14°10'00""N
49°47'00""E",IX,62,SPEEDBOATS,JOLLY OVORIO,"GULF OF ADEN: THE CYPRIOT-FLAG CONTAINER SHIP (JOLLY AVORIO) REPORTED TWO ATTEMPTED PIRACIES 7 APR AT 1400 AND 1530 LOCAL TIME WHILE UNDERWAY ABOUT 33 NM SOUTH OF THE YEMENI COAST.  THE FIRST INCIDENT INVOLVED FOURTEEN SMALL HIGH-SPEED BOATS IN POSITION 13-58N 049-25E.  THE BOATS, WHICH WERE FIRST OBSERVED DEAD AHEAD, CLOSED TO WITHIN 1.5 NM BUT PULLED BACK WHEN MASTER ATTEMPTED EVASIVE STEERING AND, ALERTED CREW, AND LAID OUT CHARGED FIRE HOSES.  DUTY OFFICER REPORTEDLY OBSERVED MEN IN THE BOATS WITH LINE AND GRAPPLING HOOKS.  THE SECOND INCIDENT INVOLVED FOUR BOATS IN POSITION 14-10N 049-47E AND INVOLVED APPROACHES AS CLOSE AS 50 M FROM THE VESSEL.  CREW FIRED SIGNAL FLARES AT THE BOATS THAT WITHDREW.  THE BOATS ARE DESCRIBED AS WOOD AND FIBERGLASS, AND BETWEEN FIVE AND SEVEN METERS IN LENGTH, WITH AN OUTBOARD MOTOR.  EACH BOAT HAD A CREW OF TWO OR THREE PERSONS, APPARENTLY UNARMED EXCEPT FOR THE LINE AND GRAPPLING HOOKS, DARK SKINNED AND WEARING BLACK SHIRTS.  ONE SOURCE REPORTS THAT ATTEMPTS TO USE VHF CH 16 WERE ""JAMMED"" BY MUSIC.  SIMPLE ROBBERY SEEMS AN UNLIKELY MOTIVE FOR THIS COMPLEX PARA-MILITARY OPERATION, WHICH REMAINS ALL THE MORE OMINOUS FOR OCCURRING IN DAYLIGHT AND FOR BEING UNEXPLAINED.",
2001-114,2001-04-05,"1°36'00""N
102°49'00""E",XI,71,BOARDERS,MERCHANT VESSEL,"STRAIT OF MALACCA: AN UNIDENTIFIED CARGO SHIP REPORTED THAT ON 5 APR AT 0130 LOCAL TIME THREE UNLIT BOATS WERE SIGHTED AHEAD OF THE SHIP WHICH WAS AT THE TIME UNDERWAY IN POSITION 01-36N 102-49E.  ONE OF THE THREE BOATS APPROACHED THE SHIP AND ITS CREW ATTEMPTED TO BOARD, WHICH WAS PREVENTED BY CREW.",
2001-115,2001-04-04,"5°38'00""N
96°32'00""E",XI,71,SPEEDBOATS,MERCHANT VESSEL,INDONESIA: AN UNIDENTIFIED CONTAINER SHIP WAS APPROACHED 4 APR AT 2140 LOCAL TIME WHILE UNDERWAY IN POSITION 05-38N 096-32E.  TWO SPEEDBOATS APPROACHED FROM THE STERN BUT WITHDREW WHEN CREW WAS ALERTED.,
2001-113,2001-04-04,"9°56'00""N
76°15'00""E",VIII,63,THIEVES,MERCHANT VESSEL,INDIA: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 4 APR AT 2045 LOCAL TIME WHILE BERTHED AT COCHIN CONTAINER TERMINAL BY SIX PERSONS OPERATING FORM A WOODEN BOAT.  ONE CONTAINER WAS OPENED AND CARGO STOLEN BEFORE THE THIEVES JUMPED OVERBOARD AND ESCAPED WHEN SPOTTED BY THE CREW.,
2001-119,2001-04-02,"12°35'00""N
47°47'00""E",IX,62,BOARDERS,YACHT,"GULF OF ADEN: AN UNIDENTIFIED FRENCH YACHT REPORTS BEING FOLLOWED FROM 2 TO 5 APRIL FROM POSITION 12-35N 047-47E TO POSITION 13-55N 052-12E.  FOUR ATTEMPTS AT BOARDING WERE REPORTEDLY AVERTED WITH THE ""HELP"" OF A TANKER AND CARGO SHIP IN THE VICINITY.",
2001-112,2001-04-02,"6°52'00""N
50°01'00""E",VIII,61,MOTOR BOATS,MERCHANT VESSEL,"SOMALIA: ABOUT 14 PERSONS IN TWO MOTOR BOATS CHASED AND FIRED SHOTS AT AN UNIDENTIFIED CARGO SHIP 2 APR AT 1230 UTC WHILE THE SHIP WAS UNDERWAY IN POSITION 06-52N 050-01E, 40 NM OFF THE SOMALI COAST.  THE CARGO SHIP ALTERED COURSE AND THE PURSUIT WITH GUNFIRE LASTED TEN MINUTES BEFORE BEING BROKEN OFF.",
2001-110,2001-03-30,"2°47'00""N
101°00'00""E",XI,71,SPEEDBOATS,MERCHANT VESSEL,STRAIT OF MALACCA: AN UNIDENTIFIED BULK CARRIER WAS APPROACHED 30 MAR AT 2339 LOCAL TIME WHILE UNDERWAY IN POSITION 02-47N 101-00E BY PERSONS IN TWO SPEEDBOATS.  ALERT CREW IS STATED TO HAVE PREVENTED BOARDING.,
2001-111,2001-03-29,"5°20'00""N
115°14'00""E",XI,71,THIEVES,MERCHANT VESSEL,MALAYSIA-SABAH: AN UNIDENTIFIED SUPPLY SHIP WAS BOARDED 29 MAR AT 0300 LOCAL TIME WHILE AT LABUAN ANCHORAGE.  AN ENGINE WAS STOLEN FROM ONE LIFEBOAT.,
2001-108,2001-03-28,"51°15'00""N
3°00'00""E",I,37,ROBBERS,SPAR EIGHT,"BELGIUM: THE 22,300-TON, NIS-FLAG BULK CARRIER (SPAR EIGHT) WAS BOARDED 28 MAR AT 0240 LOCAL TIME BY TWO ARMED MEN WHO ENTERED THE MASTER'S CABIN, BOUND HIS HANDS AND FEET, AND RANSACKED THE CABIN, APPARENTLY IN SEARCH OF KEYS OR SAFE COMBINATION.  THE THIEVES TOOK $320 FROM THE MASTER'S WALLET AND LEFT THE SHIP.",
2001-109,2001-03-27,"22°15'00""N
91°44'00""E",VIII,63,BOARDERS,MERCHANT VESSEL,"BANGLADESH: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 27 MAR AT 0350 LOCAL TIME WHILE AT ANCHOR, CHITTAGONG.  TWO PERSONS BOARDED WHILE TWO MORE REMAINED IN THEIR BOAT.  DUTY OFFICER RAISED ALARM AND INTRUDERS JUMPED OVERBOARD WITHOUT TAKING ANYTHING.",
2001-107,2001-03-26,"1°60'00""S
80°60'00""W",XII,22,INTRUDERS,CAP DOMINGO,"Ecuador: The 31,446-ton Malta-flag container ship (Cap Domingo) was boarded 26 Mar at 0330 by persons who gained access from a small boat in heavy rain as ship approached sea buoy.  When master shined light on the intruders shots were fired whereupon crew withdrew into locked accommodation block.  Ship proceeded to board pilot and 5 security personnel.  Four containers found with seals broken and doors open as far as lashing bars allowed.  No contents noted missing.",
2001-103,2001-03-26,"0°14'00""N
108°10'00""E",XI,71,FISHING BOAT,MERCHANT VESSEL,"INDONESIA: AN UNIDENTIFIED BULK CARRIER WAS SUBJECT TO AN ATTEMPTED BOARDING 26 MAR AT 2240 LOCAL TIME WHILE UNDERWAY IN POSITION 00-14N 108-10E.  DUTY OFFICER SPOTTED A FISHING BOAT ON RADAR AND RAISED ALARM, FOLLOWING WHICH BOAT WITHDREW.",
2001-106,2001-03-22,"13°46'00""N
121°01'00""E",XI,91,THIEVES,MERCHANT VESSEL,PHILIPPINES-LUZON: An unidentified tanker was boarded 22 mar at 0050 local time while anchored at batangas. Duty ab raised alarm and the thieves fled with lifebuoys and escaped in their boat.,
2001-104,2001-03-21,"0°43'00""N
108°10'00""E",XI,71,BOARDERS,MERCHANT VESSEL,"INDONESIA: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 21 MAR AT 0348 LOCAL TIME WHILE UNDERWAY IN THE DURIAN STRAIT IN POSITION 00-43N 108-10E.  WATCHMAN NOTICED PERSON TRYING TO ENTER ACCOMMODATION BLOCK AND SOUNDED ALARM, WHEREUPON THE INTRUDERS JUMPED OVERBOARD.",
2001-177,2001-03-20,"10°44'36""N
62°22'06""W",IV,24,PIRATES,LORNA,VENEZUELA: SAILING YACHT (LORNA) WAS ATTACKED BY GUNMEN 20 MARCH (REPORTED 20 JUN) AT 0030 LOCAL TIME WHILE UNDERWAY IN POSITION 10-44.6N 062-22.1W BETWEEN ISLA MARGARITA AND TRINIDAD.  THE YACHT'S OWNER WAS SHOT AND THE YACHT RANSACKED BY FOUR MEN ARMED WITH GUNS AND OPERATING A PIROGUE.  THE YACHT AND WOUNDED MAN PROCEEDED TO TRINIDAD AFTER BOTH VENEZUELAN AND TRINIDADIAN COAST GUARD RESPONDED TO DISTRESS CALL.,
2001-105,2001-03-20,"0°55'00""N
105°51'00""E",XI,71,FISHING BOAT,MERCHANT VESSEL,"INDONESIA: AN UNIDENTIFIED  CONTAINER SHIP REPORTS AN ATTEMPTED BOARDING 20 MAR AT 1950 UTC WHILE UNDERWAY IN POSITION 00-55N 105-51E.  SHIP WAS APPROACHED BY A FISHING BOAT AND WHEN THE BOAT WAS NOTICED, SWITCHED ON ALL ITS DECK LIGHT AND SHINED ALDIS LAMP TOWARD THE BOAT, WHICH THEN WITHDREW.",
2001-101,2001-03-20,"10°60'00""N
61°60'00""W",IV,24,PIRATES,LORNA,"VENEZUELA: Yacht (lorna), nationality unknown, was attacked by four persons in a pirogue 20 Mar 3 miles off the venezuelan coast (reported 28 mar)  the pirogue approached the yacht and its occupants asked for cigarettes. When the owner turned away he was shot and the four then boarded the yacht, taking cash and personal items. The yacht owner's wife contacted the trinidad and tobago coast guard which lacked permission to enter venezuelan waters.  (lorna) was eventually escorted to trinidad by a venezuelan and a trinidadian coast guard cutter and the yacht owner transferred to hospital.  Yacht incidents are assumed to be far more numerous than are reported in the usual maritime information channels.",
2001-102,2001-03-18,"2°00'00""N
102°00'00""E",XI,71,PIRATES,MATSUMI MARU NO. 7,"STRAIT OF MALACCA: THE 2,814-TON, SINGAPORE-FLAG TANKER (MATSUMI MARU NO. 7) LATE ON 18 MAR WHILE UNDERWAY BETWEEN SINGAPORE AND PORT KELANG WITH A PETROLEUM CARGO.  A GANG OF FROM 5 TO 7 PERSONS BOARDED FROM A SPEEDBOAT AND HELD THE CREW HOSTAGE WHILE TAKING RADIO EQUIPMENT, MOBILE PHONES, AND CASH.",
2001-95,2001-03-18,"4°49'00""S
11°39'00""E",II,57,THIEVES,MERCHANT VESSEL,"CONGO: AN UNIDENTIFIED CARGO SHIP WAS BOARDED 18 MAR AT 0300 LOCAL TIME WHILE ANCHORED AT POSITION 04-49S 011-39E, 1.2 NM FROM POINTE-NOIRES.  TWO PERSONS, AT LEAST ONE OF WHOM WAS ARMED WITH A KNIFE, LOWERED MOORING LINES INTO A WAITING BOAT.  WHEN SPOTTED THEY JUMPED OVERBOARD AND DROPPED THE ENDS OF THE LINES, WHICH WERE RECOVERED BY A POLICE BOAT.",
2001-96,2001-03-17,"0°05'00""N
117°31'00""E",XI,72,MERCHANT VESSEL,THIEVES,Indonesia-Borneo: An unidentified lpg carrier was boarded 17 Mar at 0345 local time while at Bontang anchorage.  Three persons armed with long knives stole four mooring lines and other ship's stores.  Master states belief that thieves monitored vhf channels and knew ship was to berth at 0700 thus tipping them that mooring lines would be laid out in preparation.,
2001-99,2001-03-15,"5°33'00""S
104°38'00""E",XI,71,INTRUDERS,MERCHANT VESSEL,INDONESIA-SUMATERA: AN UNIDENTIFIED TANKER WAS BOARDED 15 MAR AT 0230 UTC WHILE ANCHORED AT SEMANGKA PORT.  TWO PERSONS ARMED WITH LONG KNIVES WERE SPOTTED AND JUMPED OVERBOARD WITHOUT ANY REPORTED LOSS TO THE SHIP.,
2001-98,2001-03-15,"0°37'00""S
105°25'00""E",XI,71,HIJACKERS,INABUKWA,"INDONESIA: THE 649-TON, INDONESIAN-FLAG CARGO SHIP (INABUKWA) WAS HIJACKED 15 MAR AT 1155 UTC WHILE SAILING FROM PANGKALBALAM, BANGKA ISLAND, INDONESIA IN ABOUT 00-37S 105-25E, ON A VOYAGE TO SINGAPORE WITH A CARGO OF TIN PLATES, CONCENTRATE, AND PEPPER WORTH $1.2 MILLION.  SHIP'S 22 CREW WERE BOUND AND BLINDFOLDED BY THE ARMED ATTACKERS WHO PLACED THEM ON UNINHABITED PULAU SAYAP.  LOCAL FISHERMEN RESCUED THE CREW 17 MAR AND LANDED THEM AT RIAU ISLAND 0400 18 MAR.",
2001-97,2001-03-15,"6°06'00""S
106°53'00""E",XI,71,THIEVES,MERCHANT VESSEL,"INDONESIA-JAVA: AN UNIDENTIFIED ROLL-ON, ROLL-OFF SHIP WAS BOARDED 15 MAR AT 2200 LOCAL TIME WHILE BERTHED AT WHARF 305, TANJUNG PRIOK.  PERSONS ARMED WITH KNIVES AND GUNS STOLE CASH AND CREW BELONGINGS.",
2001-100,2001-03-14,"0°58'30""N
101°11'36""E",XI,71,PIRATES,MERCHANT VESSEL,INDONESIA: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 14 MAR AT 0100 LOCAL TIME WHILE UNDERWAY IN POSITION 00-58.5N 101-11.6E.  EIGHT PERSONS ARMED WITH KNIVES AND GUNS BOARDED FROM A SPEEDBOAT AND ROBBED SHIP'S CASH BEFORE LEAVING IN THEIR SPEEDBOAT.,
2001-94,2001-03-14,"6°27'00""N
3°28'00""E",II,57,THIEVES,MERCHANT VESSEL,NIGERIA: AN UNIDENTIFIED BULK CARRIER WAS BOARDED 14 MAR AT 0350 LOCAL TIME AT LAGOS ANCHORAGE BY THREE MEN ARMED WITH JUNGLE BOLOS.  CREW LOCKED THEMSELVES IN THE ACCOMMODATION AND INFORMED PORT CONTROL.  AFTER 15 MINUTES THE THIEVES LEFT WITH THREE MOORING LINES.,
2001-91,2001-03-12,"6°08'00""S
106°45'00""E",XI,71,THIEVES,MERCHANT VESSEL,INDONESIA: AN UNIDENTIFIED SHIP WAS BOARDED 12 MAR AT 0520 UTC WHILE ANCHORED AT JAKARTA ANCHORAGE.  THREE PERSONS ARMED WITH LONG KNIVES BOARDED FROM A LONG BLUE BOAT WITH CANVAS HOOD AND ESCAPED WITH ENGINE SPARES DESPITE BEING ROUTED BY CREW.,
2001-90,2001-03-10,"22°15'00""N
91°45'00""E",VIII,63,THIEVES,MERCHANT VESSEL,BANGLADESH: AN UNIDENTIFIED LPG CARRIER WAS BOARDED 10 MAR AT 1130 LOCAL TIME IN CHITTAGONG WHILE AT AMMONIA BERTH AND ROBBED OF STORES.,
2001-92,2001-03-08,"1°05'00""N
105°13'00""E",XI,71,PIRTATES,MERCHANT VESSEL,INDONESIA: AN UNIDENTIFIED LPG CARRIER WAS BOARDED 8 MAR AT 0445 LOCAL TIME WHILE UNDERWAY IN POSITION 01-05N 105-13E.  A GROUP OF ABOUT EIGHT PIRATES ARMED WITH LONG KNIVES AND GUNS BROKE OPEN AN ACCOMMODATION BLOCK DOOR AND WENT TO THE BRIDGE WHERE THEY TOOK THE CHIEF OFFICER AND DUTY AB HOSTAGE.  THEY THEN FORCED THE CHIEF OFFICER TO CALL THE CAPTAIN TO HIS DOOR AND BOUND AND BLINDFOLDED ALL THREE.  THE THIEVES THEN STOLE SHIP'S CASH AND CREW BELONGING BEFORE JUMPING OVERBOARD AND ESCAPING IN A SPEEDBOAT AT ABOUT 0717 LOCAL TIME.  THE DURATION OF THIS INCIDENT IS VERY UNUSUAL.  NO INFORMATION HAS BEEN PROVIDED AS TO CONTROL AND MANEUVERING OF THE SHIP DURING THE INCIDENT.,
2001-93,2001-03-07,"14°36'42""N
120°53'42""E",XI,91,SPEED BOAT,MERCHANT VESSEL,"PHILIPPINES: An unidentified container ship was subject to an attempted boarding 7 mar at 0512 local time while underway in manila bay. Persons in a speedboat attempted to come alongside and returned at 0550, but both times alert crew prevented the boarding.",
2001-87,2001-03-05,"22°15'00""N
91°44'00""E",VIII,63,BOARDERS,MERCHANT VESSEL,"BANGLADESH: AN UNIDENTIFIED CONTAINER SHIP REPORTEDLY WAS SUBJECTED TO THREE ATTEMPTED BOARDINGS WHILE AT CHITTAGONG OUTER ANCHORAGE ""C"".  ALL THREE ATTEMPTS WERE LAUNCHED FROM THE SAME BOAT AND INVOLVED THREE PERSONS ON THE FIRST TWO OCCASIONS AND EIGHT ON THE LAST.  THE ATTEMPTS OCCURRED 4 MAR AT 2300 LOCAL TIME, 5 MAR AT 0300 LOCAL TIME AND 6 MAR AT 0300 LOCAL TIME.  ALTHOUGH REPEATED ATTEMPTS HAVE BEEN REPORTED, UNSUCCESSFUL ATTEMPTS ON THREE SUCCESSIVE NIGHTS IS HIGHLY UNUSUAL.",
2001-86,2001-03-02,"6°27'00""N
3°28'00""E",II,57,PIRATES,MERCHANT VESSEL,NIGERIA: AN UNIDENTIFIED LPG CARRIER WAS BOARDED 2 MAR AT 0245 AT ANCHOR 7 NM FROM THE LAGOS BREAKWATER.  THREE PERSONS ARMED WITH KNIVES AND MACHETES BOARDED THE SHIP FROM A BOAT CONTAINING SIX PERSONS.  ALTHOUGH THE ALARM WAS SOUNDED THE THIEVES CUT ONE MOORING LINE AND LOWERED INTO THE BOAT BEFORE FLEEING AFTER STRIKING ONE CREW MEMBER.,
2001-89,2001-02-27,"5°17'30""N
97°58'24""E",XI,71,BOARDERS,MERCHANT VESSEL,"INDONESIA: AN UNIDENTIFIED TANKER WAS CHASED WITH APPARENT INTENT TO BOARD 27 FEB AT 2345 LOCAL TIME WHILE UNDERWAY IN POSITION 05-17.5N 097-58.4E.  DUTY OFFICER RAISED ALARM, CREW MUSTERED AND SHIP ALTERED COURSE.  THE PURSUING BOAT WITHDREW AFTER 20 MINUTES.",
2001-88,2001-02-27,"3°20'00""S
105°34'00""E",XI,71,BOARDERS,MERCHANT VESSEL,INDONESIA: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 27 FEB AT 0130 LOCAL TIME BY SIX PERSONS ARMED WITH LONG KNIVES WHILE UNDERWAY IN POSITION 03-20.0S 105-34.0E.,
2001-82,2001-02-23,"13°47'00""N
48°12'00""E",IX,62,UNSPECIFIED,MOTOR VESSEL,"GULF OF ADEN: AN UNIDENTIFIED SHIP REPORTED BEING ""CHASED"" IN A MAYDAY MESSAGE 23 FEB.  THE MESSAGE REPORTED THE INCIDENT OCCURRED AT 0347 UTC IN POSITION 13-47N 048-12E.  IT DID NOT IDENTIFY THE SHIP BEING CHASED, WHOSE CALL WAS PICKED UP BY ANOTHER SHIP AND RELAYED TO THE REGIONAL PIRACY CENTER AT KUALA LUMPUR, WHICH IN TURN RADIOED AUTHORITIES IN DJIBOUTI.",
2001-84,2001-02-22,"0°56'36""N
103°39'06""E",XI,71,PIRATES,TUG BOAT,STRAIT OF MALACCA: AN UNIDENTIFIED TUG WAS BOARDED AND ROBBED 22 FEB AT 2320 LOCAL TIME WHILE UNDERWAY IN POSITION 00-56.6N 103-39.1E.,
2001-83,2001-02-22,"13°30'00""N
43°01'00""E",IX,62,SPEED BOATS,MERCHANT VESSEL,GULF OF ADEN: AN UNIDENTIFIED BULK CARRIER REPORTED 22 FEB THAT IT WAS CHASED AT 1120 LOCAL TIME IN POSITION 13-29.8N 043-01E BY TWO HIGH SPEED BOATS.  SHIP RAISED ALARM AND COMMENCED EVASIVE MANEUVERING WHEREUPON THE BOATS BROKE OFF PURSUIT AND APPROACHED ANOTHER NEARBY SHIP.,
2001-85,2001-02-21,"0°58'00""N
103°41'00""E",XI,71,PIRATES,TUG BOAT,STRAIT OF MALACCA: AN UNIDENTIFIED TUG WAS BOARDED AND ROBBED 21 FEB AT 2130 LOCAL TIME WHILE UNDERWAY IN POSITION 00-58N 103-41E.,
2001-81,2001-02-16,"5°49'00""N
118°07'00""E",XI,72,INTRUDERS,MERCHANT VESSEL,"MALAYSIA-SABAH: AN UNIDENTIFIED CHEMICAL TANKER WAS BOARDED 16 FEB AT 1815 LOCAL TIME VIA THE ANCHOR CHAIN BY THREE PERSONS, WHICH THE SHIP WAS LOADING AT SPA OIL PIER, SANDAKAN, SABAH.  CREW  RUSHED FORWARD AND THE THREE PERSONS ESCAPED IN A MOTOR BOAT.",
2001-80,2001-02-15,"1°49'00""N
101°03'00""E",XI,71,SPEED BOAT,MERCHANT VESSEL,"STRAIT OF MALACCA: MALAYSIAN NAVAL FORCES REPORT SCARING OFF A BOAT FOLLOWING AN UNIDENTIFIED BULK CARRIER FOR OVER AN HOUR 15 FEB AT 1500 LOCAL TIME IN POSITION 01-49N 101-03E.  A MALAYSIAN WARSHIP OBSERVED THE BOAT'S MOVEMENTS AND APPROACHED IT AS A RESULT OF WHICH THE BOAT ""FLED.""",
2001-79,2001-02-15,"19°42'00""N
92°27'00""E",VIII,63,TUG BOAT,MERCHANT VESSEL,"MYANMAR: AN UNIDENTIFIED TANKER REPORTS BEING CHASED 15 FEB FROM 0400 TO 0500 LOCAL TIME FOR OVER AN HOUR BY A TUG OFF THE COAST OF MYANMAR IN POSITION 19-42N 092-27E.  THE TANKER REPORTED THE TUG ATTEMPTED TO COME ALONGSIDE AND ASKED FOR LAST PORT AND CARGO DETAILS AND THAT THE SHIP'S ENGINES BE STOPPED.  ALTHOUGH REPORTED AS AN ACT OF ATTEMPTED PIRACY BY IMB, THIS ACTIVITY IS ALSO POSSIBLY PART OF MYANMAR'S ON-GOING ATTEMPTS TO CURTAIL BLACK MARKET FUEL SMUGGLING.",
2001-78,2001-02-13,"17°02'00""N
82°23'00""E",VIII,63,THIEVES,MERCHANT VESSEL,"INDIA: AN UNIDENTIFIED TANKER WAS BOARDED 13 FEB AT KAKINADA ANCHORAGE.  ALTHOUGH SPOTTED BY WATCHMAN WHO RAISED ALARM, THIEVES ESCAPED WITH SHIP'S STORES.",
2001-77,2001-02-06,"0°07'48""N
117°34'24""E",XI,72,THIEF,MERCHANT VESSEL,Indonesia-Borneo: An unidentified tanker was boarded 6 Feb at 2000 utc while at anchor at Lhotuan pilot station.  One person boarded the ship and broke into store room while an accomplice waited in their boat.  Crew spotted the intruder and sounded alarm and the thief fled empty handed.  Bontang coast guard notified via vhf but did not respond.,
2001-76,2001-02-06,"5°05'48""N
97°53'00""E",XI,71,SPEED BOAT,MERCHANT VESSEL,STRAIT OF MALACCA: AN UNIDENTIFIED BULK CARRIER WAS SUBJECT TO AN ATTEMPTED BOARDING 6 FEB AT 0010 LOCAL TIME WHILE UNDERWAY IN POSITION 05-05.8N 097-53.0E BY TEN ARMED PERSONS IN A HIGH SPEED BOAT.  DUTY AB RAISED THE ALARM AND DUTY OFFICER TRANSMITTED A SAFETY MESSAGE VIA VHF TO OTHER VESSELS IN THE AREA.,
2001-72,2001-02-05,"12°40'00""N
43°18'00""E",IX,62,SPEED BOATS,INCAT 033,"RED SEA-BAB EL MANDEB: THE 3,889-TON, BAHAMAS FLAG FAST FERRY (INCAT 033) WAS APPROACHED 5 FEB AT 0530 LOCAL TIME IN POSITION 12-40N 043-18E BY TWO INFLATABLE BOATS, EACH WITH TWO PERSONS ABOARD AND POSSIBLY ARMED WITH TRIPOD-MOUNTED WEAPONS.  THE BOATS DISAPPEARED WHEN THE FERRY ACCELERATED LEAVING A SMOKE TRAIL AND LARGE WASH FROM ITS PUMP JET UNITS.",
2001-75,2001-02-03,"13°20'30""N
100°36'12""E",XI,93,THIEVES,MERCHANT VESSEL,THAILAND: AN UNIDENTIFIED CONTAINER SHIP WAS BOARDED 3 FEB AT 0105 UTC WHILE ANCHORED AT BANGKOK BAR ANCHORAGE.  EIGHT ARMED PERSONS BOARDED FROM A SMALL CRAFT AND USED CROWBARS TO BREAK INTO A CONTAINER.  WHEN CREW SOUNDED ALARM THE INTRUDERS JUMPED OVERBOARD.,
2001-74,2001-02-02,"1°20'48""N
103°17'54""E",XI,71,BOARDERS,MERCHANT VESSEL,STRAIT OF MALACCA: AN UNIDENTIFIED CARGO SHIP REPORTS FOILING ATTEMPTED BOARDING 2 FEB AT 0535 LOCAL TIME IN POSITION 01-20.8N 103-17.9E.,
2001-73,2001-02-02,"1°21'12""N
103°16'48""E",XI,71,BOARDERS,MERCHANT VESSEL,STRAIT OF MALACCA: AN UNIDENTIFIED TANKER REPORTS FOILING ATTEMPTED BOARDING 2 FEB AT 0535 LOCAL TIME IN POSITION 01-21.2N 103-16.8E.,
2001-68,2001-01-30,"1°19'00""N
103°19'00""E",XI,71,BOARDERS,MERCHANT VESSEL,"STRAIT OF MALACCA: AN UNIDENTIFIED CONTAINER SHIP WAS ""CHASED"" 30 JAN AT 0436 LOCAL TIME IN POSITION 01-19N 103-19E.  ALERT CREW PREVENTED ATTEMPTED BOARDING.",
2001-70,2001-01-27,"3°47'12""N
98°42'00""E",XI,71,THIEVES,MERCHANT VESSEL,"INDONESIA: AN UNIDENTIFIED CEMENT CARRIER WAS BOARDED 27 JAN AT 0420 LOCAL TIME AT PISAI JETTY, BELAWAN, BY FOUR PERSONS OPERATING FROM A SPEEDBOAT.  THE FOUR JUMPED OVERBOARD WITH SHIP'S STORES AFTER BEING DISCOVERED.",
